#ra (deg)
#___ right ascension (J2000 decimal deg)
#dec (deg)
#___ declination (J2000 decimal deg)
#err_maj (arcsec)
#___ major axis of 1-sigma error ellipse
#err_min (arcsec)
#___ minor axis of 1-sigma error ellipse
#err_ang (deg)
#___ angle of error ellipse major axis (E of N)
#designation
#___ source designation formed from sexigesimal coordinates
#j_m (mag)
#___ J band selected "default" magnitude
#j_cmsig (mag)
#___ corrected J band photometric uncertainty
#j_msigcom (mag)
#___ combined (total) J band photometric uncertainty
#j_snr
#___ J band "scan" signal-to-noise ratio
#h_m (mag)
#___ H band selected "default" magnitude
#h_cmsig (mag)
#___ corrected H band photometric uncertainty
#h_msigcom (mag)
#___ combined (total) H band photometric uncertainty
#h_snr
#___ H band "scan" signal-to-noise ratio
#k_m (mag)
#___ K band selected "default" magnitude
#k_cmsig (mag)
#___ corrected K band photometric uncertainty
#k_msigcom (mag)
#___ combined (total) K band photometric uncertainty
#k_snr
#___ K band "scan" signal-to-noise ratio
#ph_qual
#___ flag indicating photometric quality of source
#rd_flg
#___ source of JHK "default" mags (AKA "read flag")
#bl_flg
#___ indicates # JHK components fit simultaneously to source
#cc_flg
#___ indicates JHK artifact contamination and/or confusion
#ndet
#___ number of >3-sig. ap. mag measurements, # possible (jjhhkk)
#gal_contam
#___ flag indicating if src is contaminated by extended source
#mp_flg
#___ src is positionally associated with an asteroid, comet, etc
#j_h ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
#h_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
#j_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
ra,dec,j_m,h_m,k_m
274.948162,-13.876616,15.419,13.876,12.817
274.972886,-13.852932,17.515,16.819,13.974
274.968786,-13.852785,15.134,12.285,11.02
274.638825,-14.061974,15.102,13.367,12.65
274.923411,-13.920444,13.461,13.219,12.519
274.694521,-14.06627,14.705,12.637,11.728
274.727242,-14.02125,13.934,13.404,13.186
274.917554,-13.986334,15.953,15.077,14.365
274.794504,-14.024542,15.694,13.51,12.511
274.828669,-13.903382,15.62,13.449,12.518
274.868335,-13.9777,16.329,14.946,14.31
274.917553,-13.823115,16.324,13.889,12.778
274.676758,-14.022155,15.786,13.783,13.008
274.685002,-13.989137,16.696,14.507,13.49
274.69785,-14.020565,15.296,13.252,12.375
274.749193,-14.026904,16.007,13.135,12.419
274.632227,-14.054802,12.893,13.957,11.528
274.88426,-13.842926,13.25,10.876,9.804
274.744103,-14.050999,16.598,14.199,13.765
274.811589,-14.006085,12.274,9.941,8.833
274.774544,-14.063707,14.426,12.233,11.291
274.773173,-13.914044,8.712,8.647,8.612
274.835721,-13.919216,15.563,13.04,11.845
274.870142,-13.897355,16.461,14.043,13.319
274.804915,-13.950683,16.812,14.375,13.248
274.869053,-14.00668,16.715,14.918,13.667
274.705457,-13.966618,15.982,14.484,13.509
274.833596,-13.883119,16.72,14.492,13.789
274.800454,-13.901359,15.985,13.552,12.353
274.917991,-13.920682,14.823,14.071,12.564
274.755938,-13.956422,16.433,14.043,12.954
274.755625,-13.915264,15.847,12.606,11.033
274.846472,-13.943264,16.209,14.725,13.764
274.814804,-13.887825,16.399,14.455,13.354
274.878528,-13.883529,16.171,13.823,12.751
274.917855,-13.870873,16.287,14.314,13.355
274.9136,-13.892155,16.244,13.983,13.048
274.69452,-13.987575,16.484,13.494,11.974
274.883611,-13.821554,16.361,14.754,13.647
274.8981,-13.882644,16.242,14.087,13.138
274.805705,-13.900938,16.847,14.879,13.648
274.850565,-13.954267,15.181,13.18,12.348
274.931569,-13.942725,16.375,14.641,13.719
274.837564,-13.928733,16.528,14.094,12.884
274.925328,-13.918371,16.855,14.834,13.571
274.802783,-13.98955,16.004,14.508,13.605
274.852203,-13.9339,16.413,15.017,14.31
274.91132,-13.849433,13.068,11.594,10.947
274.930641,-13.815103,18.318,14.613,12.977
274.812804,-13.994306,14.627,13.577,12.9
274.963013,-13.799023,16.954,14.708,13.324
274.942399,-13.738624,16.338,14.576,13.282
274.981071,-13.799462,16.861,14.697,13.106
274.660924,-14.079597,15.675,14.509,13.61
274.781789,-14.022588,14.462,12.511,11.6
274.926546,-13.793321,16.107,14.189,14.29
274.786041,-13.928815,15.999,13.671,12.503
274.815752,-13.918975,14.108,13.234,12.974
274.732612,-14.003572,12.606,12.398,12.113
274.721699,-14.013678,15.512,13.737,12.77
274.880689,-13.96871,13.444,13.073,12.874
274.902776,-13.941735,16.114,14.424,13.496
274.956665,-13.818825,15.955,12.424,10.762
274.641091,-14.037282,14.793,12.462,11.394
274.435794,-13.892759,13.433,11.327,10.432
274.432692,-13.827919,16.184,14.828,14.573
274.421207,-13.82856,12.903,10.65,9.572
274.425784,-13.77837,16.414,14.202,13.342
274.415975,-13.78155,17.326,14.779,13.671
274.43387,-13.74961,16.598,14.694,13.507
274.434321,-13.731143,14.008,13.327,12.872
274.425781,-13.774501,15.905,13.67,13.444
274.430312,-13.828825,16.21,14.071,13.09
274.426784,-13.783229,15.677,15.204,13.823
274.427016,-13.795917,16.985,14.946,13.872
274.434116,-13.852652,16.543,14.434,13.585
274.421115,-13.806019,16.483,14.67,13.783
274.427547,-13.812003,18.038,15.008,13.917
274.436062,-13.886223,16.131,13.265,12.436
274.432949,-13.873321,16.192,14.574,13.776
274.433058,-13.74281,15.397,14.078,13.469
274.425653,-13.737423,13.529,11.071,9.961
274.424333,-13.837562,16.241,14.695,14.237
274.420432,-13.784358,15.83,13.406,12.338
274.429983,-13.877861,15.895,14.411,13.864
274.418668,-13.777089,15.79,15.161,15.398
274.435624,-13.846646,16.301,14.685,14.07
274.432799,-13.860024,15.863,13.593,12.689
274.428138,-13.87827,16.119,14.263,13.498
274.43453,-13.785877,17.015,13.812,12.513
274.428285,-13.881103,14.909,14.173,14.032
274.436297,-13.911229,16.55,15.259,14.89
274.431649,-13.878258,15.717,13.764,12.896
274.436577,-13.909026,16.187,14.586,13.811
274.415589,-13.816367,17.411,14.597,13.295
274.432446,-13.847752,14.991,14.455,14.262
274.422013,-13.75918,16.064,13.828,12.738
